timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783352521498,30500,https://theracareweb.online/mood_graphs.php-1,200,OK,Thread Group 1-3,text,true,,28145,557,3,3,https://theracareweb.online/landing.php,30483,0,0
1783352555398,597,https://theracareweb.online/mood_graphs.php?filter=month,200,OK,Thread Group 1-3,text,true,,28705,1131,3,3,https://theracareweb.online/landing.php,321,0,101
1783352555398,321,https://theracareweb.online/mood_graphs.php?filter=month-0,302,Found,Thread Group 1-3,text,true,,561,574,3,3,https://theracareweb.online/mood_graphs.php?filter=month,321,0,101
1783352555719,276,https://theracareweb.online/mood_graphs.php?filter=month-1,200,OK,Thread Group 1-3,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,221,0,0
1783352557003,464,https://theracareweb.online/mood_graphs.php?filter=week,200,OK,Thread Group 1-3,text,true,,28705,1130,3,3,https://theracareweb.online/landing.php,218,0,0
1783352557003,218,https://theracareweb.online/mood_graphs.php?filter=week-0,302,Found,Thread Group 1-3,text,true,,561,573,3,3,https://theracareweb.online/mood_graphs.php?filter=week,218,0,0
1783352557221,246,https://theracareweb.online/mood_graphs.php?filter=week-1,200,OK,Thread Group 1-3,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,219,0,0
1783352558330,482,https://theracareweb.online/mood_graphs.php?filter=today,200,OK,Thread Group 1-3,text,true,,28705,1131,3,3,https://theracareweb.online/landing.php,233,0,0
1783352558330,233,https://theracareweb.online/mood_graphs.php?filter=today-0,302,Found,Thread Group 1-3,text,true,,561,574,3,3,https://theracareweb.online/mood_graphs.php?filter=today,233,0,0
1783352558563,249,https://theracareweb.online/mood_graphs.php?filter=today-1,200,OK,Thread Group 1-3,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,227,0,0
1783352559646,488,https://theracareweb.online/mood_graphs.php?filter=year,200,OK,Thread Group 1-3,text,true,,28705,1130,3,3,https://theracareweb.online/landing.php,244,0,0
1783352559646,244,https://theracareweb.online/mood_graphs.php?filter=year-0,302,Found,Thread Group 1-3,text,true,,561,573,3,3,https://theracareweb.online/mood_graphs.php?filter=year,244,0,0
1783352559891,243,https://theracareweb.online/mood_graphs.php?filter=year-1,200,OK,Thread Group 1-3,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,221,0,0
1783352561696,460,https://theracareweb.online/mood_graphs.php?filter=today,200,OK,Thread Group 1-3,text,true,,28705,1131,3,3,https://theracareweb.online/landing.php,220,0,0
1783352561696,220,https://theracareweb.online/mood_graphs.php?filter=today-0,302,Found,Thread Group 1-3,text,true,,561,574,3,3,https://theracareweb.online/mood_graphs.php?filter=today,220,0,0
1783352561916,240,https://theracareweb.online/mood_graphs.php?filter=today-1,200,OK,Thread Group 1-3,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,219,0,0
1783352515977,47157,https://theracareweb.online/mood_graphs.php,200,OK,Thread Group 1-2,text,true,,28706,1118,3,3,https://theracareweb.online/landing.php,2446,0,0
1783352515977,2446,https://theracareweb.online/mood_graphs.php-0,302,Found,Thread Group 1-2,text,true,,561,561,3,3,https://theracareweb.online/mood_graphs.php,2446,0,0
1783352518424,44710,https://theracareweb.online/mood_graphs.php-1,200,OK,Thread Group 1-2,text,true,,28145,557,3,3,https://theracareweb.online/landing.php,44692,0,0
1783352565213,459,https://theracareweb.online/home.php,200,OK,Thread Group 1-3,text,true,,28705,1111,3,3,https://theracareweb.online/landing.php,218,0,0
1783352565213,218,https://theracareweb.online/home.php-0,302,Found,Thread Group 1-3,text,true,,561,554,3,3,https://theracareweb.online/home.php,218,0,0
1783352565431,241,https://theracareweb.online/home.php-1,200,OK,Thread Group 1-3,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,220,0,0
1783352466651,74985,Test,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-3,,true,,229707,8955,3,3,null,5071,24036,219
1783352544951,41709,https://theracareweb.online/mood_graphs.php?filter=month,200,OK,Thread Group 1-1,text,true,,28705,1131,2,2,https://theracareweb.online/landing.php,2709,0,99
